ID;SEX;BM;AREA_TYPE;AREA;YEAR;order;repeatability;surv;reprod;age;SHYNESS4;EXPLORATION4;ACTIVITY4.oft;SOCIABILITY3;AVOIDANCE3;OTHER3.mis;ALERT3
5095;M;290;RED;BOR;2016;1;Y;1;#N/A;2;0.168922499;0.237560644;0.955426737;0.13878963;0;0.882009855;0.440074579
5095;M;290;RED;BOR;2016;2;Y;#N/A;#N/A;#N/A;0.773076575;0.177741465;0.572273614;0;0.736732083;0.287805156;0.604912146
5110;F;360;RED-GREY;C06-04;2016;1;N;1;1;2;0.845342553;0.281687644;0.358945009;0.154252055;0.946502911;0.087614064;0.262545322
5118;F;355;RED-GREY;C03-17;2016;1;Y;1;1;2;0.786396923;0.163658767;0.593738613;0.873554127;0;0.235008581;0.417831984
5118;F;340;RED-GREY;C03-17;2017;2;Y;1;1;2;0.943711569;0.102086163;0.281848993;0.927763345;0.052655947;0.248377583;0.269791463
5120;M;320;RED-GREY;C06-04;2016;1;Y;0;#N/A;1;0.84538069;0.184371834;0.470564559;0.358285211;0.677300552;0.455739153;0.366129304
5120;M;340;RED-GREY;C06-04;2016;2;Y;#N/A;#N/A;#N/A;0.718760952;0.305822044;0.62383174;0.282333529;0.790762153;0.244386764;0.465913704
5123;M;315;RED-GREY;C06-04;2016;1;N;1;#N/A;1;0.854996961;0.120315083;0.427915169;0.10420933;0.900683698;0.388244501;0.090848751
5124;M;345;RED-GREY;C03-17;2016;1;Y;1;#N/A;2;0.853642011;0.113774383;0.506670205;0.909535997;0;0.221326237;0.327003367
5124;M;335;RED-GREY;C03-17;2016;2;Y;#N/A;#N/A;#N/A;0.805397752;0.483534075;0.340829959;0.99620388;0;0;0
5124;M;350;RED-GREY;C03-17;2017;3;Y;1;#N/A;2;0.95509244;0;0.26933066;0.974067731;0;0.156322245;0.148366032
5124;M;370;RED-GREY;C03-17;2017;4;Y;#N/A;#N/A;#N/A;0.89494436;0.098697221;0.423646708;0.93366322;0;0.278975875;0.210349568
5128;F;365;RED-GREY;C03-17;2016;1;N;0;1;1;0.706520691;0.570090408;0.416592219;0.976601107;0;0.140879045;0.15372023
5143;M;300;RED-GREY;Sal-Passat;2016;1;Y;1;#N/A;2;0.878029159;0.118783629;0.458945238;0.146664098;0.824176039;0.338410786;0.408930085
5143;M;305;RED-GREY;Sal-Passat;2016;2;Y;#N/A;#N/A;#N/A;0.811373084;0.325415636;0.424878839;0.119277711;0.745691172;0.302197364;0.57877526
5144;F;285;RED-GREY;Sal-Passat;2016;1;N;0;0;1;0.923456017;0.143014829;0.334415189;0;0.880909674;0.212536458;0.411343613
5146;F;350;RED-GREY;Sal-Passat;2016;1;Y;0;1;1;0.100750153;0.241212609;0.949456617;0.121803387;0.308408365;0.626696347;0.699428062
